#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,135 = 0.0,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #
PGNHA05V,PGNHA05V,PGNHA05V,PGNHA05V,PGNXA05VB,PGNXA05VB,PGNXA05VB,PGNXA05VB,PGOAA08VB,PGOAA08VB,PGOAA08VB,PGOAA08VB,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,180 = 0.0,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,PGMHA01VN_R,,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V,PGNCA03V
4.02,3.84,4.76,4.02,25.7,22.9,28.7,22.9,5.87,4.95,4.58,1.24,14.57,15.5,17.54,14.2,8.46,13.46,11.98,14.39,18.83,15.13,14.2,13.83,15.5,16.98,16.24,13.46,16.05,13.65,14.2,12.35,13.09,14.2,12.35,11.8,17.54,8.46,14.57,20.5,17.17,145 = 0.0,7.91,12.72,10.5,14.76,17.54,11.8,18.46,9.76,14.76,13.09,11.43,17.17,10.87,16.61,13.65,11.06,18.65,16.98,20.13,14.94,11.43,9.58,22.35,20.13,13.28,11.61,4.76,12.17,6.61,14.94,5.5,5.87,10.5,5.32,4.76,15.68,5.32,5.5,7.35,7.72,11.61,12.54,12.35,11.06,13.65,14.39,5.69,5.5,11.8,4.76,6.06,6.8,6.24,10.32,18.28,9.02,9.2,14.02,,12.54,12.72,10.5,12.72,15.68,26.98,17.91,9.95,13.28,18.09,11.24,17.91,18.28,7.72,14.94,18.65,7.91,9.39,18.46,16.43,13.28,15.68,12.17,9.95,17.17,17.72,15.31,15.5,20.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,22.4(0x6e) : 0,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####
15.17412935,16.14583333,14.91596639,16.66666667,5.525291829,12.79475983,9.407665505,13.79912664,12.09540034,12.12121212,12.88209607,14.51612903,17.70761839,19.09677419,16.76168757,15.49295775,15.01182033,16.86478455,17.36227045,17.30368311,17.5252257,17.51487112,15.91549296,17.6428055,17.5483871,17.72673734,18.04187192,17.23625557,18.06853583,17.43589744,17.53521127,16.92307692,17.11229947,17.32394366,17.1659919,15.16949153,16.36259977,14.6572104,17.63898421,16.92682927,17.53057659,#VALUE!,12.51580278,15.33018868,15.52380952,17.14092141,19.09920182,16.18644068,16.25135428,15.98360656,18.08943089,16.11917494,15.7480315,19.27781013,17.20331187,15.95424443,17.8021978,15.46112116,15.49597855,17.196702,16.29408843,17.00133869,15.7480315,14.71816284,16.19686801,14.95280676,16.94277108,18.51851852,12.18487395,17.09120789,14.37216339,18.13922356,14.90909091,13.2879046,15.80952381,13.72180451,13.86554622,17.34693878,13.53383459,14.18181818,14.96598639,15.28497409,16.19293712,16.3476874,16.51821862,16.36528029,15.82417582,17.85962474,13.53251318,14,16.77966102,13.86554622,14.52145215,13.82352941,13.78205128,15.89147287,17.39606127,15.85365854,14.34782609,16.83309558,,21.1323764,21.77672956,22.85714286,21.22641509,22.83163265,21.49740549,23.11557789,22.61306533,21.61144578,22.6644555,22.86476868,20.82635399,22.15536105,21.63212435,21.61981258,22.14477212,21.23893805,22.36421725,23.23943662,24.10225198,21.9126506,23.27806122,22.92522597,20.90452261,21.89866045,22.96839729,22.33834095,24,22.23287015
15.17412935,16.14583333,14.91596639,16.66666667,5.525291829,12.79475983,9.407665505,13.79912664,12.09540034,12.12121212,12.88209607,14.51612903,17.70761839,19.09677419,16.76168757,15.49295775,15.01182033,16.86478455,17.36227045,17.30368311,17.5252257,17.51487112,15.91549296,17.6428055,17.5483871,17.72673734,18.04187192,17.23625557,18.06853583,17.43589744,17.53521127,16.92307692,17.11229947,17.32394366,17.1659919,15.16949153,16.36259977,14.6572104,17.63898421,16.92682927,17.53057659,#VALUE!,12.51580278,15.33018868,15.52380952,17.14092141,19.09920182,16.18644068,16.25135428,15.98360656,18.08943089,16.11917494,15.7480315,19.27781013,17.20331187,15.95424443,17.8021978,15.46112116,15.49597855,17.196702,16.29408843,17.00133869,15.7480315,14.71816284,16.19686801,14.95280676,16.94277108,18.51851852,12.18487395,17.09120789,14.37216339,18.13922356,14.90909091,13.2879046,15.80952381,13.72180451,13.86554622,17.34693878,13.53383459,14.18181818,14.96598639,15.28497409,16.19293712,16.3476874,16.51821862,16.36528029,15.82417582,17.85962474,13.53251318,14,16.77966102,13.86554622,14.52145215,13.82352941,13.78205128,15.89147287,17.39606127,15.85365854,14.34782609,16.83309558,,21.1323764,21.77672956,22.85714286,21.22641509,22.83163265,21.49740549,23.11557789,22.61306533,21.61144578,22.6644555,22.86476868,20.82635399,22.15536105,21.63212435,21.61981258,22.14477212,21.23893805,22.36421725,23.23943662,24.10225198,21.9126506,23.27806122,22.92522597,20.90452261,21.89866045,22.96839729,22.33834095,24,22.23287015
15.17412935,16.14583333,14.91596639,16.66666667,5.525291829,12.79475983,9.407665505,13.79912664,12.09540034,12.12121212,12.88209607,14.51612903,17.70761839,19.09677419,16.76168757,15.49295775,15.01182033,16.86478455,17.36227045,17.30368311,17.5252257,17.51487112,15.91549296,17.6428055,17.5483871,17.72673734,18.04187192,17.23625557,18.06853583,17.43589744,17.53521127,16.92307692,17.11229947,17.32394366,17.1659919,15.16949153,16.36259977,14.6572104,17.63898421,16.92682927,17.53057659,#VALUE!,12.51580278,15.33018868,15.52380952,17.14092141,19.09920182,16.18644068,16.25135428,15.98360656,18.08943089,16.11917494,15.7480315,19.27781013,17.20331187,15.95424443,17.8021978,15.46112116,15.49597855,17.196702,16.29408843,17.00133869,15.7480315,14.71816284,16.19686801,14.95280676,16.94277108,18.51851852,12.18487395,17.09120789,14.37216339,18.13922356,14.90909091,13.2879046,15.80952381,13.72180451,13.86554622,17.34693878,13.53383459,14.18181818,14.96598639,15.28497409,16.19293712,16.3476874,16.51821862,16.36528029,15.82417582,17.85962474,13.53251318,14,16.77966102,13.86554622,14.52145215,13.82352941,13.78205128,15.89147287,17.39606127,15.85365854,14.34782609,16.83309558,,21.1323764,21.77672956,22.85714286,21.22641509,22.83163265,21.49740549,23.11557789,22.61306533,21.61144578,22.6644555,22.86476868,20.82635399,22.15536105,21.63212435,21.61981258,22.14477212,21.23893805,22.36421725,23.23943662,24.10225198,21.9126506,23.27806122,22.92522597,20.90452261,21.89866045,22.96839729,22.33834095,24,22.23287015
15.17412935,16.14583333,14.91596639,16.66666667,5.536964981,12.76419214,9.397212544,13.81222707,12.09540034,12.12121212,12.88209607,14.51612903,17.65957447,19.18064516,16.76168757,15.54225352,15.13002364,16.84249629,17.25375626,17.2828353,17.5252257,17.60079313,15.96478873,17.71511208,17.56774194,17.72673734,17.91871921,17.16196137,18.04984424,17.43589744,17.65492958,16.94736842,17.11229947,17.34507042,17.1417004,15.27966102,16.36259977,14.73995272,17.63898421,16.81463415,17.45486313,#VALUE!,12.51580278,15.38522013,15.42857143,17.18834688,19.21322691,16.16101695,16.26760563,15.98360656,18.04200542,16.1420932,15.54680665,19.1613279,17.26770929,15.95424443,17.63369963,15.34358047,15.53351206,17.23792697,16.24441133,17.04819277,15.59930009,14.82254697,16.03131991,15.01738698,16.99548193,18.34625323,12.18487395,17.17337716,14.47806354,18.07228916,14.72727273,13.45826235,15.80952381,13.77819549,13.80252101,17.2002551,13.66541353,14.18181818,15.06122449,15.24611399,16.10680448,16.40350877,16.54251012,16.2477396,15.82417582,17.81097985,13.58523726,14.18181818,16.77966102,13.92857143,14.30693069,14.01470588,13.73397436,15.92054264,17.43435449,15.85365854,14.38043478,16.81169757,,21.18819777,21.69811321,22.88571429,21.3836478,22.8125,21.41215715,22.98715801,22.81407035,21.9126506,22.57048093,22.74911032,20.71468453,22.08424508,21.67098446,21.8206158,22.21447721,21.15044248,22.50266241,23.33152763,23.87705417,21.89006024,23.23341837,23.22925226,21.03517588,21.78217822,22.81602709,22.35793599,23.91612903,22.36224245
15.17412935,16.14583333,14.91596639,16.66666667,5.552529183,12.76419214,9.383275261,13.81222707,12.14650767,12.12121212,12.72925764,14.51612903,17.54975978,19.24516129,16.63055872,15.61267606,15.13002364,16.79049034,17.22036728,17.2133426,17.45618694,17.69332452,16.00704225,17.6934201,17.61290323,17.84452297,17.7955665,17.13967311,18.04984424,17.48717949,17.74647887,17.06072874,17.1657754,17.25352113,17.1902834,15.36440678,16.41961231,14.92907801,17.77625257,16.63414634,17.35585323,#VALUE!,12.55372946,15.54245283,15.23809524,17.34417344,19.23033067,16.12711864,16.28927411,15.85040984,17.88617886,16.04278075,15.45931759,19.14385556,17.29530819,15.87597833,17.53113553,15.21699819,15.56568365,17.39104829,16.2791853,16.8875502,15.68678915,14.92693111,15.97315436,15.08693492,17.01807229,18.28596038,12.24789916,17.25554643,14.47806354,17.87148594,14.49090909,13.6286201,15.9047619,13.72180451,13.65546218,17.07270408,13.59022556,14.18181818,15.23809524,15.06476684,16.13264427,16.64274322,16.51821862,16.09403255,15.82417582,17.74148714,13.70826011,14.30909091,16.80508475,14.07563025,14.19141914,14.26470588,13.83012821,15.82364341,17.54376368,15.82039911,14.42391304,16.7403709,,21.18819777,21.61949686,22.85714286,21.56446541,22.85076531,21.43439585,22.85315466,22.84422111,22.13855422,22.57048093,22.74911032,20.80960357,21.92013129,21.67098446,21.95448461,22.45040214,21.07458913,22.60915868,23.27735645,23.57273281,21.81475904,23.10586735,23.31142153,20.97487437,21.76470588,22.64672686,22.35793599,23.69677419,22.52036416
15.17412935,16.14583333,14.91596639,16.66666667,5.552529183,12.7510917,9.362369338,13.7860262,12.09540034,12.12121212,12.66375546,14.51612903,17.52230611,19.27096774,16.64766249,15.65492958,15.13002364,16.69390788,17.17028381,17.16469771,17.47211896,17.64705882,16.03521127,17.62111352,17.46451613,17.84452297,17.65394089,17.16196137,18.04984424,17.58241758,17.74647887,17.08502024,17.1657754,17.20422535,17.10931174,15.44915254,16.36259977,15.01182033,17.77625257,16.63414634,17.28013978,#VALUE!,12.51580278,15.64465409,15.23809524,17.41192412,19.15621437,16.18644068,16.26760563,15.88114754,17.77100271,16.06569901,15.57305337,19.17880023,17.32290708,15.83383504,17.50915751,15.18987342,15.51206434,17.44994111,16.29408843,16.75368139,15.66054243,14.92693111,15.97315436,15.05216095,17.04066265,18.28596038,12.24789916,17.28019721,14.52344932,17.73761714,14.30909091,13.74787053,15.9047619,13.66541353,13.59243697,17.02806122,13.47744361,14.12727273,15.23809524,14.93523316,16.25322997,16.74641148,16.46153846,16.09403255,15.87545788,17.72063933,13.83128295,14.49090909,16.77966102,14.01260504,14.24092409,14.30882353,13.89423077,15.8624031,17.66958425,15.70953437,14.42391304,16.7831669,,21.21212121,21.75314465,22.79047619,21.64308176,22.85076531,21.36026686,22.7414852,22.84422111,22.51506024,22.53731343,22.77580071,20.82635399,21.92013129,21.63212435,22.17536814,22.53619303,20.98609355,22.89669862,23.0227519,23.43274498,21.70933735,23.08673469,23.27855382,20.97487437,21.78217822,22.70316027,22.33834095,23.5483871,22.55390513
15.17412935,16.14583333,14.85294118,16.66666667,5.564202335,12.79475983,9.362369338,13.76855895,12.09540034,12.12121212,13.0349345,14.51612903,17.54975978,19.27096774,16.60775371,15.72535211,15.01182033,16.71619614,17.11185309,17.16469771,17.48805098,17.64705882,16.1056338,17.51988431,17.50322581,17.86219081,17.73399015,17.23625557,17.98753894,17.56043956,17.65492958,17.1659919,17.1657754,17.16197183,17.10931174,15.48305085,16.37970353,14.92907801,17.8242965,16.63414634,17.3383809,#VALUE!,12.51580278,15.56603774,15.23809524,17.36449864,19.02508552,16.16101695,16.23510293,15.88114754,17.7303523,15.96638655,15.66054243,19.23704135,17.32290708,15.87597833,17.58241758,15.3074141,15.45844504,17.37338045,16.25931446,16.71352075,15.72178478,14.82254697,16.00447427,14.98758073,17.09337349,18.40654608,12.12184874,17.19802794,14.47806354,17.73761714,14.36363636,13.74787053,15.93333333,13.66541353,13.65546218,17.02806122,13.40225564,14.18181818,15.23809524,15.02590674,16.25322997,16.64274322,16.41295547,16.12115732,15.84615385,17.81097985,13.76098418,14.41818182,16.72033898,13.92857143,14.35643564,14.22058824,13.94230769,15.89147287,17.68599562,15.63192905,14.5326087,16.85449358,,21.21212121,21.80031447,22.92380952,21.77672956,22.70408163,21.34914752,22.81965382,22.61306533,22.61295181,22.44333886,22.8024911,20.97710776,22.15536105,21.89119171,22.22222222,22.71849866,20.89759798,23.00319489,22.86023835,23.4144857,21.55873494,22.97831633,23.06491372,20.83417085,21.97437391,22.95146727,22.35793599,23.43870968,22.50598946
