#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #,#T4 #
T4MHA01V,T4MHA01V,T4NFA02V,T4NHA03V,T4NHA05VB,T4NHA05VB,T4NYA07VB,T4NYA07VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NHA05VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB,T4NYA07VB
17.17,14.2,28.83,33.27,21.1,21.7,22.9,23.4,23.1,29.2,20.2,23.9,25.3,22.4,29,23,26.9,26.1,23.1,23.4,23.2,23.8,28.1,28.9,27.7,27.5,28.8,24.2,29.7,25.2,23.5,22.6,23.2,27.4,39.01,34.01,31.42,35.68,29.94,25.31,38.09,48.27,48.27,43.08,24.2,24.02,37.53,48.27,39.57,30.49,31.24,28.64,27.35,48.27,39.01,22.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####
28.4216657,27.25352113,12.83385362,20.01803427,26.54028436,21.70506912,23.88646288,17.17948718,38.78787879,19.62328767,22.22772277,17.0292887,23.51778656,39.375,25.89655172,18,17.47211896,23.33333333,19.39393939,26.28205128,29.05172414,32.64705882,25.16014235,24.29065744,14.72924188,13.67272727,18.64583333,24.66942149,18.35016835,24.00793651,21.91489362,30.75221239,20.0862069,28.54014599,13.63752884,15.52484563,13.2718014,16.05941704,15.23046092,15.01382853,15.9621948,15.12326497,14.97824736,15.1810585,14.04958678,12.98917569,14.25526246,16.44914025,16.07278241,14.10298459,14.21254802,14.14106145,15.0274223,16.22125544,15.63701615,14.44043321
28.4216657,27.25352113,12.83385362,20.01803427,26.54028436,21.70506912,23.88646288,17.17948718,38.78787879,19.62328767,22.22772277,17.0292887,23.51778656,39.375,25.89655172,18,17.47211896,23.33333333,19.39393939,26.28205128,29.05172414,32.64705882,25.16014235,24.29065744,14.72924188,13.67272727,18.64583333,24.66942149,18.35016835,24.00793651,21.91489362,30.75221239,20.0862069,28.54014599,13.63752884,15.52484563,13.2718014,16.05941704,15.23046092,15.01382853,15.9621948,15.12326497,14.97824736,15.1810585,14.04958678,12.98917569,14.25526246,16.44914025,16.07278241,14.10298459,14.21254802,14.14106145,15.0274223,16.22125544,15.63701615,14.44043321
28.4216657,27.25352113,12.83385362,20.01803427,26.54028436,21.70506912,23.88646288,17.17948718,38.78787879,19.62328767,22.22772277,17.0292887,23.51778656,39.375,25.89655172,18,17.47211896,23.33333333,19.39393939,26.28205128,29.05172414,32.64705882,25.16014235,24.29065744,14.72924188,13.67272727,18.64583333,24.66942149,18.35016835,24.00793651,21.91489362,30.75221239,20.0862069,28.54014599,13.63752884,15.52484563,13.2718014,16.05941704,15.23046092,15.01382853,15.9621948,15.12326497,14.97824736,15.1810585,14.04958678,12.98917569,14.25526246,16.44914025,16.07278241,14.10298459,14.21254802,14.14106145,15.0274223,16.22125544,15.63701615,14.44043321
28.38089691,27.16197183,12.85813389,20.03907424,26.60189573,21.76497696,23.88646288,17.03846154,38.86147186,19.64726027,22.22772277,17.0292887,23.51778656,39.47767857,25.93103448,18.01304348,17.55762082,23.29501916,19.42424242,26.31196581,29.0387931,32.57563025,25.19572954,24.22145329,14.76534296,13.67272727,18.57638889,24.7107438,18.32659933,24.00793651,21.84255319,30.72123894,20.05603448,28.54014599,13.65547296,15.52484563,13.26225334,16.07903587,15.24048096,15.01382853,15.90968758,15.10876321,15.04039776,15.15784587,14.09090909,12.97668609,14.18332001,16.36627305,16.04751074,14.10298459,14.24455826,14.13058659,15.00182815,16.256474,15.65496027,14.44043321
28.57891672,27.34507042,12.77488727,20.0270514,26.68246445,21.75115207,23.97379913,16.92307692,38.87445887,19.65753425,22.14356436,17.0167364,23.46640316,39.61160714,25.89655172,18.05652174,17.57249071,23.26819923,19.45021645,26.36752137,29.00862069,32.49159664,25.27758007,24.24567474,14.81227437,13.67272727,18.54166667,24.79338843,18.32659933,24.01984127,21.81702128,30.69469027,19.98706897,28.50364964,13.66316329,15.49544252,13.23997454,16.05100897,15.19706079,14.98617147,15.88343397,15.08183137,15.025896,15.22748375,14.1446281,12.91840133,14.1220357,16.3186244,16.05509224,14.10298459,14.2765685,14.14106145,14.97989031,16.30412264,15.72160984,14.49909747
28.5206756,27.25352113,12.75407562,20.01803427,26.74407583,21.59907834,24.01746725,16.83760684,38.77489177,19.64726027,22.02970297,17.0292887,23.41106719,39.73214286,25.86206897,18.14347826,17.53531599,23.25670498,19.52380952,26.44017094,28.93534483,32.46638655,25.37366548,24.18685121,14.83754513,13.70909091,18.56597222,24.82231405,18.32659933,24.00793651,21.75744681,30.61946903,19.88362069,28.51459854,13.64521917,15.57483093,13.20814768,15.97533632,15.15364061,15.06519162,15.88343397,15.025896,15.03418272,15.23444754,14.09090909,12.85179017,14.02344791,16.26890408,16.02223907,14.17841915,14.28617157,14.14106145,14.96526508,16.34555625,15.67034094,14.48555957
28.53814793,27.37323944,12.66042317,20.00901713,26.63507109,21.42857143,23.97379913,16.86752137,38.54112554,19.57876712,21.98019802,17.0292887,23.41106719,39.70089286,25.85172414,18.2173913,17.47211896,23.25670498,19.52380952,26.38034188,28.99568966,32.40756303,25.38434164,24.25605536,14.87364621,13.75636364,18.63541667,24.80578512,18.31649832,24.07539683,21.78723404,30.60619469,19.87068966,28.46715328,13.59395027,15.54542782,13.23042648,15.94730942,15.13026052,15.1047017,15.91756367,14.9844624,15.0466128,15.28087279,14.09090909,12.8101582,14.04209965,16.33934121,16.03992924,14.23417514,14.30857875,14.13058659,15.00182815,16.42842345,15.71391951,14.45397112
