#T4 #,#T4 #,#T4 #,#Progesterone #,#Cortisol #,#T4 #,#T4 #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#Progesterone #,#T4 #,#T4 #,#cCRP #,#cCRP #,#cCRP #,#cCRP #,#cCRP #,#cCRP #,#cCRP #,#cCRP #,#T4 #
T4NYA07VB,T4NYA07VB,T4NYA07VB,PGOAA08VB,CONHA04VB,T4NFA03VB,T4NFA03VB,PGNHA06VB.1,PGNXA05VB,PGNXA05VB,PGNXA05VB,PGNFA04VB,PGNFA04VB,T4NFA03VB,T4NFA03VB,CRNHA07VN,CRNHA07VN,CRNHA07VN,CRNHA07VN,CRNHA07VN,CRNHA07VN,CRNHA07VN,CRNHA07VN,T4NFA02V
48.27,48.27,27.9,16.24,12.54,19.57,20.68,17.72,5.13,37.72,18.09,48.27,34.38,48.27,48.27,13.46,1.24,26.24,12.35,8.46,5.5,8.65,16.61,48.27
< 8.00,34.75,< 8.00,1.81,< 30.00,< 8.00,< 8.00,< 1.00,< 1.00,6.71,< 1.00,2.49,8.46,> 90.00,77.54,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####
18.8108556,20.57178372,19.31899642,22.72167488,18.7400319,31.42565151,36.26692456,16.81715576,19.49317739,18.69034995,18.51851852,20.2610317,18.15008726,23.63787031,29.52144189,70.80237741,69.35483871,76.60060976,97.32793522,78.0141844,74,76.41618497,74.5936183,19.72239486
18.8108556,20.57178372,19.31899642,22.72167488,18.7400319,31.42565151,36.26692456,16.81715576,19.49317739,18.69034995,18.51851852,20.2610317,18.15008726,23.63787031,29.52144189,70.80237741,69.35483871,76.60060976,97.32793522,78.0141844,74,76.41618497,74.5936183,19.72239486
18.8108556,20.57178372,19.31899642,22.72167488,18.7400319,31.42565151,36.26692456,16.81715576,19.49317739,18.69034995,18.51851852,20.2610317,18.15008726,23.63787031,29.52144189,70.80237741,69.35483871,76.60060976,97.32793522,78.0141844,74,76.41618497,74.5936183,19.72239486
18.77563704,20.57799876,19.35483871,22.76477833,18.81977671,31.59427695,36.36363636,16.85665914,19.49317739,18.76988335,18.57379768,20.25481666,18.18789994,23.70623576,29.38263932,70.95096582,70.72580645,76.65015244,98.03238866,78.0141844,74.23636364,76.15028902,74.75617098,19.76382846
18.73420344,20.61321732,19.390681,22.76477833,18.9553429,32.07460399,36.37814313,16.87358916,19.55165692,18.8573701,18.62907684,20.26724674,18.27515998,23.65858711,29.27284027,71.1218425,72.01612903,76.91692073,100.0242915,77.86052009,75.14545455,76.26589595,74.81637568,19.78454527
18.6865548,20.60700228,19.4516129,22.84482759,19.13875598,32.33009709,36.28143133,16.87358916,19.62962963,18.92895016,18.684356,20.42055107,18.37405468,23.52807127,29.29355707,71.07726597,74.75806452,77.14557927,102.534413,77.86052009,75.76363636,76.15028902,74.5936183,19.76382846
